feature	rep	val	estimate	pval	pval_corr
ZNF503	Rep 2	estimate	0.2269731825032404	0	0
STAG1	Rep 2	estimate	0.2268397497616409	0	0
RNF2	Rep 2	P2.5	0.22640555780590133	0	0
SMC3	Rep 2	P97.5	0.2263407428361597	0	0
RBM34	Rep 2	P2.5	0.22606178492694812	1.62092561595273e-14	2.1774286884596597e-14
ZNF143	Rep 2	P2.5	0.226019892417308	0	0
ILF3	Rep 2	P2.5	0.22597997679845308	0	0
MYCN	Rep 2	P2.5	0.2259422539963885	0	0
TAF1	Rep 2	P2.5	0.22583058348570503	0	0
ADNP	Rep 2	P97.5	0.22569890623279446	0.00675782214645837	0.007520556023033807
DRAP1	Rep 2	P2.5	0.22568091210750996	0	0
ZNF561	Rep 2	P97.5	0.22555704392026413	0	0
ZBED4	Rep 2	P2.5	0.22551787219763553	0	0
KDM3A	Rep 2	P2.5	0.2253512240773491	0	0
CTBP1	Rep 2	estimate	0.22531897982395083	0	0
SP3	Rep 2	P2.5	0.22529055595714279	0	0
PRPF4	Rep 2	P2.5	0.2252851677592578	0	0
ARID1A	Rep 2	estimate	0.22502817697887845	0	0
EZH2	Rep 2	P97.5	0.22496845767208654	0	0
TFE3	Rep 2	P2.5	0.22484952579681614	0	0
ASH1L	Rep 2	P2.5	0.22476160193723171	0	0
ZFP37	Rep 2	P2.5	0.22470911227287504	0	0
STAT3	Rep 2	P97.5	0.22454422687996237	0	0
ZNF488	Rep 2	P97.5	0.22449773162667952	0.0532345571191837	0.057177857646530626
ZNF395	Rep 2	P97.5	0.22443663882087406	5.47473177903157e-12	7.1592646341182096e-12
KLF13	Rep 2	P97.5	0.2244325023700736	0	0
HMBOX1	Rep 2	P97.5	0.2243129199393357	0	0
JUNB	Rep 2	P2.5	0.22403189532651543	0	0
ZNF3	Rep 2	P97.5	0.22389295374400858	0	0
GATA2	Rep 2	estimate	0.22387264252981903	0	0
ZNF397	Rep 2	P97.5	0.22385642940110656	2.13184085051665e-07	2.650687362685271e-7
NFKBIZ	Rep 2	P2.5	0.22380694256407582	0	0
YAP1	Rep 2	P97.5	0.22376995117638201	0	0
KLF16	Rep 2	estimate	0.22348410662145005	0	0
GABPB1	Rep 2	estimate	0.22332632165524716	0	0
KMT2B-D	Rep 2	P2.5	0.22328319047597814	0	0
KLF15	Rep 2	estimate	0.22300992585656523	0	0
SPI1	Rep 2	P2.5	0.22300287543161498	0	0
BACH1	Rep 2	P97.5	0.222970139095111	0	0
MRTFB	Rep 2	estimate	0.22292537972498203	0	0
PHF20	Rep 2	P97.5	0.22288535209235658	0	0
PRKDC	Rep 2	estimate	0.22285015973643013	0	0
ZNF660	Rep 2	estimate	0.22283363254428418	0	0
ZNF444	Rep 2	P97.5	0.22277701046213116	0	0
NFATC3	Rep 2	P97.5	0.2226899720834629	0	0
RBBP4	Rep 2	estimate	0.2226827869891202	0	0
ZNF501	Rep 2	estimate	0.2224840671239122	0	0
KLF8	Rep 2	estimate	0.2224753558158693	0	0
AHRR	Rep 2	P97.5	0.22243254593868572	2.49077158898103e-08	3.1405380904543465e-8
CDX2	Rep 2	P2.5	0.2222559846062107	0	0
RFX3	Rep 2	P2.5	0.22225019845513377	0	0
PDX1	Rep 2	estimate	0.22223894166566166	0	0
ZNF843	Rep 2	estimate	0.2221782876338525	0	0
ZBTB7A	Rep 2	P97.5	0.22195767502508282	0	0
STAT5A	Rep 2	P97.5	0.221784039836364	0	0
GABPA	Rep 2	P2.5	0.22170395746111785	0	0
SRSF1	Rep 2	P2.5	0.221665256161443	0	0
E2F8	Rep 2	P2.5	0.22165793397411354	0	0
NR3C1	Rep 2	P2.5	0.22161171336952068	0	0
NCOR1	Rep 2	P2.5	0.22148786316734387	0	0
FOXJ3	Rep 2	estimate	0.2214491978656255	0	0
PCGF1	Rep 2	P97.5	0.22141303767329604	0	0
HNRNPL	Rep 2	estimate	0.22137378039116742	0	0
NKX2-1	Rep 2	P2.5	0.22122198417410643	0	0
KMT2D	Rep 2	P2.5	0.221123182182088	0	0
POU5F1	Rep 2	P2.5	0.22077427819719317	0	0
ELF1	Rep 2	P2.5	0.22074244652377936	0	0
NCOR2	Rep 2	P97.5	0.22069743678497697	0	0
PITX3	Rep 2	estimate	0.22062396787798846	0	0
ZBED2	Rep 2	P97.5	0.22057764902121427	0	0
ZNF35	Rep 2	estimate	0.22056468236034885	0	0
MORC2	Rep 2	P2.5	0.22047903600522042	0	0
REST	Rep 2	P2.5	0.2204722293121428	0	0
PBX2	Rep 2	P97.5	0.22046640187580202	0	0
POU2F3	Rep 2	estimate	0.220436404309551	0	0
RXRA	Rep 2	P97.5	0.22025744980600678	0	0
ZNF518A	Rep 2	estimate	0.22025120927790195	0	0
KLF6	Rep 2	P2.5	0.22018592045286373	0	0
SOX11	Rep 2	P2.5	0.22017926409550298	2.62012633811537e-14	3.486429918194e-14
U2AF2	Rep 2	P97.5	0.2201208569448659	0	0
KDM4A	Rep 2	P2.5	0.2201021170414202	0	0
GATAD1	Rep 2	P2.5	0.22003051764306816	0	0
KDM1A	Rep 2	estimate	0.21995181081283544	0	0
TAF15	Rep 2	estimate	0.2197617095604394	0	0
RUNX1	Rep 2	P2.5	0.21974889660052685	0	0
EGR1	Rep 2	P2.5	0.2197100474670845	0	0
ONECUT2	Rep 2	estimate	0.21966856413295816	0	0
CTCFL	Rep 2	P97.5	0.21959910036298053	0	0
EBF3	Rep 2	P97.5	0.21959254423233365	0	0
ZSCAN31	Rep 2	P97.5	0.21932681136233756	1.24877885809838e-12	1.6417279387799983e-12
SKIL	Rep 2	P97.5	0.21926306303014861	0	0
ATXN7L3	Rep 2	P2.5	0.2190689551341871	0	0
L3MBTL4	Rep 2	P2.5	0.21901762774981118	0	0
BCOR	Rep 2	estimate	0.21886641871802182	0	0
TCF4	Rep 2	P2.5	0.21878493007451244	0	0
ZNF333	Rep 2	P97.5	0.2187720857127429	0.000309107365220163	3.589868811626388e-4
NFRKB	Rep 2	P97.5	0.21855012513869673	0	0
POU2F1	Rep 2	P2.5	0.21854162643841035	0	0
HNRNPLL	Rep 2	estimate	0.21845455474554046	0	0
KLF4	Rep 2	estimate	0.21843091835098	0	0
ZNF585B	Rep 2	P97.5	0.21841589517950963	0.00970577806297168	0.010716570179272203
ZNF263	Rep 2	P97.5	0.21836981307695977	0	0
ATF4	Rep 2	estimate	0.21824612796292334	0	0
SND1	Rep 2	estimate	0.21819921218189142	0	0
ARID4B	Rep 2	estimate	0.21812007675555467	0	0
AGO1	Rep 2	estimate	0.2180984669991773	0	0
HDAC1	Rep 2	estimate	0.21809446749735334	0	0
MAFK	Rep 2	estimate	0.21802951424789974	0	0
ZNF391	Rep 2	P97.5	0.21788821375008893	0	0
U2AF1	Rep 2	P2.5	0.21781340337311636	0	0
ZBTB26	Rep 2	P2.5	0.21758253903469585	0	0
SAP30	Rep 2	P97.5	0.21754780418159936	0	0
ZIC2	Rep 2	P97.5	0.21743181325238536	0	0
DNMT1	Rep 2	P97.5	0.21738394182063872	0.135487932003291	0.14272553520859468
MED	Rep 2	estimate	0.2173814410320817	0	0
ETS1	Rep 2	estimate	0.21724519963735733	0	0
SMAD2-3	Rep 2	estimate	0.21724359022207135	0	0
ZNF711	Rep 2	P97.5	0.21722984433089737	0	0
SREBF1	Rep 2	P2.5	0.21722196919298709	0	0
XRN2	Rep 2	P2.5	0.2170854075097996	0	0
ZNF695	Rep 2	P97.5	0.21703927770441175	0	0
NFKB1	Rep 2	P2.5	0.21691665177953345	0	0
FOXO3	Rep 2	P2.5	0.21686869154475824	0	0
BRD2	Rep 2	P2.5	0.21678659788305124	0	0
RFX1	Rep 2	estimate	0.21670696383049998	0	0
HSF2	Rep 2	estimate	0.21667785396803896	0	0
ZNF580	Rep 2	estimate	0.21667125490737507	0	0
NBN	Rep 2	estimate	0.2166449483309681	0	0
MITF	Rep 2	estimate	0.2166089408206999	0	0
HNRNPUL1	Rep 2	P2.5	0.2165212827695537	0	0
HMGXB4	Rep 2	estimate	0.21649225380204976	0	0
ZNF506	Rep 2	P97.5	0.21640629494256314	0.0966366158052936	0.10278716632580312
SKI	Rep 2	P2.5	0.21639417151278792	0	0
ZNF384	Rep 2	P2.5	0.21633255455019643	0	0
TBX3	Rep 2	estimate	0.21618261478386014	0	0
ZC3H11A	Rep 2	P97.5	0.216164950470986	0	0
ZFP64	Rep 2	P2.5	0.2160085578865482	0	0
CDKN1B	Rep 2	P2.5	0.21584791905222458	0	0
SMARCC1	Rep 2	estimate	0.21583871955681525	0	0
ZNF597	Rep 2	P97.5	0.21582704399874642	1.10875334706773e-05	1.3315844095113002e-5
BATF	Rep 2	estimate	0.21576094113613056	0	0
FOXK2	Rep 2	P2.5	0.21564203121340642	0	0
FOXA1	Rep 2	P97.5	0.2156198906492998	0	0
MEF2B	Rep 2	P97.5	0.21556854625438052	0	0
CCNT2	Rep 2	P2.5	0.2155651118814865	0	0
GATA3	Rep 2	P2.5	0.21547916636784226	0	0
ZNF589	Rep 2	P97.5	0.21546390727228754	6.62652066552027e-09	8.419780123972926e-9
TAL1	Rep 2	estimate	0.2154122072075662	0	0
ZNF891	Rep 2	estimate	0.21499633048098346	0	0
INSM2	Rep 2	estimate	0.2149569788587428	0	0
HDAC2	Rep 2	P97.5	0.21485459797432183	0	0
SP7	Rep 2	P97.5	0.21472885101548117	0	0
ZNF101	Rep 2	P97.5	0.21470742299652418	0	0
EP300	Rep 2	estimate	0.21449028566162226	0	0
FOXA2	Rep 2	estimate	0.2144770307630121	0	0
MLLT3	Rep 2	estimate	0.21445730127977083	0	0
ZFP36	Rep 2	P2.5	0.2144553557608283	0	0
ESRRA	Rep 2	estimate	0.21444516829979804	0	0
HLF	Rep 2	P97.5	0.21435523896285907	0	0
FOXL2	Rep 2	P2.5	0.21435218084710697	0	0
PAX3-FOXO1	Rep 2	P97.5	0.21433733038535402	0	0
ZNF189	Rep 2	P97.5	0.21429903643173107	0	0
RELA	Rep 2	estimate	0.21421751360482053	0	0
FLI1	Rep 2	P2.5	0.21419587499567777	0	0
ZNF609	Rep 2	P2.5	0.2141576190302884	0	0
LCORL	Rep 2	P97.5	0.21413242420710524	7.10515091206787e-09	9.01631763101534e-9
E2F3	Rep 2	estimate	0.21412414708545088	0	0
TCF3	Rep 2	P2.5	0.2141241334747378	0	0
BMPR1A	Rep 2	P2.5	0.2139605115060213	0	0
VDR	Rep 2	P2.5	0.2138587722154023	0	0
SUZ12	Rep 2	P2.5	0.21352481417192593	0	0
RBM22	Rep 2	P97.5	0.21343308666553465	0	0
ZBTB1	Rep 2	P97.5	0.21327491312176136	0	0
ASH2L	Rep 2	estimate	0.21322520750247623	0	0
TFAP4	Rep 2	estimate	0.21319242985552234	0	0
CC2D1A	Rep 2	estimate	0.21303880183497403	0	0
PRDM10	Rep 2	P2.5	0.21296367611597034	0	0
MTA2	Rep 2	estimate	0.21288711169505078	0	0
MED1	Rep 2	P97.5	0.21280381906891788	0	0
ZFP69B	Rep 2	P97.5	0.21279592508867387	0	0
ZNF93	Rep 2	estimate	0.2126423068034078	6.29718057698625e-08	7.889479096452912e-8
GRHL2	Rep 2	P97.5	0.21257558969647333	0	0
ZBTB7B	Rep 2	estimate	0.21242532182686202	0	0
KLF12	Rep 2	estimate	0.21241798289850966	0	0
THRB	Rep 2	P2.5	0.2123215998051643	0	0
HINFP	Rep 2	P97.5	0.21221796793558928	2.17229467880387e-06	2.6345418859786116e-6
ELK4	Rep 2	P2.5	0.2122143495108511	0	0
ZNF692	Rep 2	estimate	0.21220285040655776	0	0
YY1AP1	Rep 2	P97.5	0.21217754394698338	0	0
HNRNPC	Rep 2	P97.5	0.21204072865126458	0	0
NR1H2	Rep 2	P97.5	0.2120187374013978	0	0
ZNF324	Rep 2	estimate	0.21201843586444813	0	0
GATA6	Rep 2	estimate	0.21201053309493617	0	0
RXR	Rep 2	estimate	0.21194888014643495	0	0
